image_id,user_id,timestamp,image_path,plate_diameter_cm
IMG_00001,USER_101,2026-07-31 10:31:52,data/images/duck.png,24.9
IMG_00002,USER_102,2026-07-14 04:14:52,data/images/temp_20260806_081057_duck.png,27.9
IMG_00003,USER_103,2026-07-16 16:38:52,data/images/duck.jpg,25.5
IMG_00004,USER_104,2026-07-20 03:00:52,data/images/temp_20260806_081057_duck.jpg,26.3
IMG_00005,USER_105,2026-07-09 02:01:52,data/images/French-fries-b9e3e0c.png,24.9
IMG_00006,USER_106,2026-07-18 08:28:52,data/images/temp_20260806_082406_strawberry-juice-recipe.png,26.3
IMG_00007,USER_107,2026-07-09 21:58:52,data/images/temp_20260805_202346_meal_06.png,24.1
IMG_00008,USER_108,2026-07-17 00:24:52,data/images/Cucumber-Salad-with-Vinegar-Dressing-2688-scaled.jpg,24.9
IMG_00009,USER_109,2026-07-28 02:31:52,data/images/temp_20260805_202346_meal_07.png,24.8
IMG_00010,USER_110,2026-07-21 06:52:52,data/images/temp_20260805_203011_carrot2.png,25.6
IMG_00011,USER_111,2026-07-11 08:15:52,data/images/temp_20260806_095050_burger.png,27.4
IMG_00012,USER_112,2026-07-17 12:01:52,data/images/temp_20260805_202454_healthy_food.png,26.6
IMG_00013,USER_113,2026-07-28 12:22:52,data/images/temp_20260806_145135_beef_noodle.png,25.2
IMG_00014,USER_114,2026-07-12 06:59:52,data/images/temp_20260806_113924_carrot2.png,24.3
IMG_00015,USER_115,2026-07-11 01:08:52,data/images/temp_20260805_195133_hong-kong-macaroni-soup-f3.png,27.2
IMG_00016,USER_116,2026-07-19 00:44:52,data/images/temp_20260806_154226_creamy-mac-n-cheese.jpg,25.5
IMG_00017,USER_117,2026-07-10 07:31:52,data/images/Macaroni-Thumbnail-Blog.png,26.2
IMG_00018,USER_118,2026-08-03 08:52:52,data/images/temp_20260806_082406_fresh-orange-juice-recipe.png,27.6
IMG_00019,USER_119,2026-07-12 18:55:52,data/images/temp_20260805_201854_basmati-rice-recipe.png,26.5
IMG_00020,USER_120,2026-07-24 20:35:52,data/images/temp_20260806_082432_fresh-orange-juice-recipe.png,26.2
IMG_00021,USER_121,2026-07-25 20:42:52,data/images/noodle.png,27.7
IMG_00022,USER_122,2026-07-22 07:42:52,data/images/Coconut-chicken-rice-bowl-–-basmati-rice-–-3-4-038-1540x870-PNG-1.jpg,26.1
IMG_00023,USER_123,2026-07-15 08:04:52,data/images/temp_20260806_081534_healthy-chopped-vegetable-salad-recipe-4.png,26.1
IMG_00024,USER_124,2026-07-19 17:32:52,data/images/temp_20260806_081856_fruit-salad-dressing.png,27.0
IMG_00025,USER_125,2026-07-11 14:53:52,data/images/temp_20260806_081856_tropical-fruit-salad.png,24.3
IMG_00026,USER_126,2026-08-02 16:13:52,data/images/temp_20260805_201944_Cheeseburger.png,25.4
IMG_00027,USER_127,2026-07-26 10:01:52,data/images/temp_20260806_082256_juice.png,24.8
IMG_00028,USER_128,2026-07-21 10:42:52,data/images/temp_20260806_081534_salad_11.png,24.3
IMG_00029,USER_129,2026-07-18 08:52:52,data/images/temp_20260806_081754_tropical-fruit-salad.png,24.3
IMG_00030,USER_130,2026-07-13 23:07:52,data/images/temp_20260806_081754_fruit-salad-dressing.png,24.3
IMG_00031,USER_131,2026-08-06 15:04:52,data/images/temp_20260806_103710_burger_1.png,24.6
